"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Регистрация","","0","0","4","0","0"
"","Создание рецепта","","0","0","3","0","0"
"","Авторизация","","0","0","3","0","0"
